Number of nodes 192
   134 : -2.1673231e-02 -7.6987687e-03
   135 : -1.6058139e-02 -7.4880334e-03
   136 : -1.2990381e-02 -7.5000000e-03
   137 : -1.9078408e-02 -8.0258622e-03
   138 : -2.2407132e-02 -5.1884923e-03
   139 : -2.2851302e-02 -2.6111274e-03
   140 : -1.6739866e-02 -5.3286219e-03
   141 : -1.4095389e-02 -5.1303021e-03
   142 : -2.3000000e-02 -1.0557460e-15
   143 : -1.9176575e-02 -2.8975790e-03
   144 : -1.4772116e-02 -2.6047227e-03
   145 : -1.9563778e-02  5.7819484e-04
   146 : -2.3000000e-02  2.8728478e-03
   147 : -1.5000000e-02  0.0000000e+00
   148 : -2.3000000e-02  6.8246306e-03
   149 : -1.7612250e-02  3.7067190e-03
   150 : -1.5000000e-02  2.8728478e-03
   151 : -2.3000000e-02  1.2254379e-02
   152 : -1.8687269e-02  9.5679614e-03
   153 : -1.5000000e-02  6.8246306e-03
   154 : -2.3000000e-02  1.9420491e-02
   155 : -1.9000000e-02  1.5837435e-02
   156 : -1.5000000e-02  1.2254379e-02
   157 : -2.3000000e-02  2.6888442e-02
   158 : -1.9000000e-02  2.3154467e-02
   159 : -1.5000000e-02  1.9420491e-02
   160 : -2.3000000e-02  3.4356393e-02
   161 : -1.9000000e-02  3.0622417e-02
   162 : -1.5000000e-02  2.6888442e-02
   163 : -2.3000000e-02  4.1824344e-02
   164 : -1.9000000e-02  3.8090368e-02
   165 : -1.5000000e-02  3.4356393e-02
   166 : -2.3000000e-02  4.9292295e-02
   167 : -1.9000000e-02  4.5558319e-02
   168 : -1.5000000e-02  4.1824344e-02
   169 : -2.3000000e-02  5.6760246e-02
   170 : -1.9000000e-02  5.3026270e-02
   171 : -1.5000000e-02  4.9292295e-02
   172 : -2.3000000e-02  6.4228196e-02
   173 : -1.9000000e-02  6.0494221e-02
   174 : -1.5000000e-02  5.6760246e-02
   175 : -2.3000000e-02  7.1696147e-02
   176 : -1.9000000e-02  6.7962172e-02
   177 : -1.5000000e-02  6.4228196e-02
   178 : -2.3000000e-02  7.9164098e-02
   179 : -1.9000000e-02  7.5430123e-02
   180 : -1.5000000e-02  7.1696147e-02
   181 : -2.2560660e-02  9.5160660e-02
   182 : -2.3000000e-02  9.4100000e-02
   183 : -1.9000000e-02  8.2509280e-02
   184 : -2.3000000e-02  8.6632049e-02
   185 : -1.5000000e-02  7.9164098e-02
   186 : -2.1500000e-02  9.5600000e-02
   187 : -1.9000000e-02  9.3090222e-02
   188 : -1.5000000e-02  8.6632049e-02
   189 : -1.6500000e-02  9.5600000e-02
   190 : -1.5000000e-02  9.4100000e-02
   191 : -1.5439340e-02  9.5160660e-02
Number of edges 129
     0 :      0      1
     1 :      4      0
     2 :      1      2
     3 :      2      3
     4 :      3      6
     5 :      7      4
     6 :      6      8
     7 :     10      7
     8 :      8     11
     9 :     13     10
    10 :     11     14
    11 :     16     13
    12 :     14     17
    13 :     19     16
    14 :     17     20
    15 :     22     19
    16 :     20     23
    17 :     25     22
    18 :     23     26
    19 :     28     25
    20 :     26     29
    21 :     31     28
    22 :     29     32
    23 :     34     31
    24 :     32     35
    25 :     37     34
    26 :     35     38
    27 :     40     37
    28 :     38     41
    29 :     42     40
    30 :     41     44
    31 :     50     42
    32 :     44     45
    33 :     45     53
    34 :     47     46
    35 :     46     54
    36 :     48     47
    37 :     49     48
    38 :     56     49
    39 :     51     50
    40 :     58     51
    41 :     53     61
    42 :     54     62
    43 :     63     56
    44 :     59     58
    45 :     65     59
    46 :     61     68
    47 :     62     69
    48 :     70     63
    49 :     72     65
    50 :     68     75
    51 :     69     76
    52 :     77     70
    53 :     73     72
    54 :     79     73
    55 :     75     81
    56 :     76     83
    57 :     84     77
    58 :     85     79
    59 :     81     89
    60 :     83     91
    61 :     92     84
    62 :     86     85
    63 :     87     86
    64 :     94     87
    65 :     89     99
    66 :     91     95
    67 :    101     92
    68 :     97     94
    69 :     95     96
    70 :     96     97
    71 :     99    106
    72 :    108    101
    73 :    106    110
    74 :    113    108
    75 :    110    111
    76 :    111    117
    77 :    114    113
    78 :    116    114
    79 :    120    116
    80 :    117    121
    81 :    124    120
    82 :    121    126
    83 :    125    124
    84 :    129    125
    85 :    126    130
    86 :    132    129
    87 :    130    136
    88 :    133    132
    89 :    134    133
    90 :    138    134
    91 :    136    141
    92 :    139    138
    93 :    142    139
    94 :    141    144
    95 :    146    142
    96 :    144    147
    97 :    148    146
    98 :    147    150
    99 :    151    148
   100 :    150    153
   101 :    154    151
   102 :    153    156
   103 :    157    154
   104 :    156    159
   105 :    160    157
   106 :    159    162
   107 :    163    160
   108 :    162    165
   109 :    166    163
   110 :    165    168
   111 :    169    166
   112 :    168    171
   113 :    172    169
   114 :    171    174
   115 :    175    172
   116 :    174    177
   117 :    178    175
   118 :    177    180
   119 :    184    178
   120 :    180    185
   121 :    181    182
   122 :    186    181
   123 :    182    184
   124 :    185    188
   125 :    189    186
   126 :    188    190
   127 :    191    189
   128 :    190    191
Number of triangles 253
     0 :    147    143    144
     1 :    146    149    148
     2 :     44     43     41
     3 :    110    109    106
     4 :     92    100    101
     5 :    101    100    107
     6 :      4      5      7
     7 :     47     46     54
     8 :     72     66     74
     9 :    131    137    132
    10 :     85     93     86
    11 :     65     66     72
    12 :    116    118    120
    13 :    134    137    138
    14 :    124    128    125
    15 :     79     78     85
    16 :     58     66     59
    17 :     72     78     73
    18 :     50     57     51
    19 :    129    128    132
    20 :    132    137    133
    21 :     87     93     94
    22 :     62     55     54
    23 :    184    187    182
    24 :    190    187    188
    25 :     88     93     85
    26 :     74     78     72
    27 :    132    128    131
    28 :    117    119    115
    29 :     52     57     50
    30 :      6      2      3
    31 :    190    191    189
    32 :      1      4      0
    33 :    186    181    182
    34 :     85     80     88
    35 :     60     52     53
    36 :    113    112    118
    37 :    139    143    142
    38 :    188    187    184
    39 :     56     55     63
    40 :     78     80     85
    41 :      2      5      1
    42 :      7      5      8
    43 :    118    112    115
    44 :      1      5      4
    45 :      8      5      6
    46 :    186    187    189
    47 :    145    143    147
    48 :    145    149    146
    49 :     52     43     44
    50 :     63     55     62
    51 :    106    109    105
    52 :    115    109    110
    53 :     94     93    102
    54 :    107    100    103
    55 :    144    143    140
    56 :    115    119    118
    57 :    148    149    152
    58 :     41     43     39
    59 :    103    109    107
    60 :     47     55     48
    61 :    159    155    156
    62 :     34     36     37
    63 :     38     36     35
    64 :    151    155    154
    65 :      8      9      7
    66 :    184    183    188
    67 :     77     82     84
    68 :     83     82     76
    69 :     60     57     52
    70 :     54     55     47
    71 :     76     71     69
    72 :     70     71     77
    73 :    156    152    153
    74 :     37     39     40
    75 :     41     39     38
    76 :    148    152    151
    77 :     66     67     74
    78 :    131    135    137
    79 :     69     64     62
    80 :     63     64     70
    81 :     50     43     52
    82 :    147    149    145
    83 :     58     57     66
    84 :    162    158    159
    85 :    154    158    157
    86 :     35     33     32
    87 :     31     33     34
    88 :    157    161    160
    89 :    160    164    163
    90 :    163    167    166
    91 :    166    170    169
    92 :    172    176    175
    93 :    169    173    172
    94 :    175    179    178
    95 :    178    183    184
    96 :     14     12     11
    97 :     32     30     29
    98 :     13     15     16
    99 :      7      9     10
   100 :     10     12     13
   101 :     17     15     14
   102 :     26     24     23
   103 :     20     18     17
   104 :    188    183    185
   105 :     11      9      8
   106 :     16     18     19
   107 :     29     27     26
   108 :     28     30     31
   109 :     23     21     20
   110 :    180    176    177
   111 :     25     27     28
   112 :     19     21     22
   113 :     22     24     25
   114 :    185    179    180
   115 :    177    173    174
   116 :    174    170    171
   117 :    171    167    168
   118 :    168    164    165
   119 :    165    161    162
   120 :     77     71     76
   121 :     76     82     77
   122 :    152    149    153
   123 :     39     43     40
   124 :    162    161    158
   125 :    158    161    157
   126 :     31     30     33
   127 :     33     30     32
   128 :     14     15     12
   129 :     11     12      9
   130 :     16     15     18
   131 :      9     12     10
   132 :     18     15     17
   133 :     12     15     13
   134 :    163    164    167
   135 :     25     24     27
   136 :     27     24     26
   137 :    179    176    180
   138 :    160    161    164
   139 :    183    179    185
   140 :    175    176    179
   141 :     19     18     21
   142 :    172    173    176
   143 :    176    173    177
   144 :    169    170    173
   145 :     21     18     20
   146 :     27     30     28
   147 :    178    179    183
   148 :     29     30     27
   149 :    173    170    174
   150 :     22     21     24
   151 :    166    167    170
   152 :     24     21     23
   153 :    167    164    168
   154 :    170    167    171
   155 :    164    161    165
   156 :     62     64     63
   157 :     69     71     70
   158 :     70     64     69
   159 :     84     90     92
   160 :     91     90     83
   161 :    159    158    155
   162 :     34     33     36
   163 :     36     33     35
   164 :    155    158    154
   165 :    118    123    120
   166 :    124    123    128
   167 :     94    102     97
   168 :     92     90    100
   169 :    137    143    138
   170 :    150    149    147
   171 :     42     43     50
   172 :    142    143    145
   173 :     37     36     39
   174 :     39     36     38
   175 :    156    155    152
   176 :    152    155    151
   177 :    102    109    104
   178 :     93     98    102
   179 :     95    100     91
   180 :    108    112    113
   181 :    105    109    102
   182 :     66     57     60
   183 :    138    143    139
   184 :    102     98    105
   185 :    121    119    117
   186 :     99     98     89
   187 :     81     80     75
   188 :    130    127    126
   189 :    189    187    190
   190 :    182    187    186
   191 :     68     67     61
   192 :    141    135    136
   193 :     90     82     83
   194 :     84     82     90
   195 :    107    109    112
   196 :    120    123    124
   197 :     40     43     42
   198 :    153    149    150
   199 :    126    122    121
   200 :     89     88     81
   201 :     61     60     53
   202 :    106    105     99
   203 :    136    131    130
   204 :    111    115    110
   205 :    144    140    141
   206 :     75     74     68
   207 :    100     90     91
   208 :     59     66     65
   209 :     86     93     87
   210 :     51     57     58
   211 :    125    128    129
   212 :    114    118    116
   213 :     73     78     79
   214 :    133    137    134
   215 :    112    109    115
   216 :     45     52     44
   217 :    142    145    146
   218 :     48     55     49
   219 :    140    143    137
   220 :     97    102    104
   221 :    128    123    127
   222 :    119    123    118
   223 :    137    135    140
   224 :     60     67     66
   225 :    128    127    131
   226 :     74     80     78
   227 :     97    104     96
   228 :     96    103     95
   229 :    101    107    108
   230 :     88     98     93
   231 :     96    104    103
   232 :    122    119    121
   233 :     89     98     88
   234 :    105     98     99
   235 :     75     80     74
   236 :    126    127    122
   237 :    131    127    130
   238 :     88     80     81
   239 :    136    135    131
   240 :    140    135    141
   241 :     61     67     60
   242 :     74     67     68
   243 :    107    112    108
   244 :     49     55     56
   245 :    127    123    122
   246 :      6      5      2
   247 :    104    109    103
   248 :    122    123    119
   249 :    103    100     95
   250 :     53     52     45
   251 :    117    115    111
   252 :    113    118    114
